sample_type,label,max_drawdown
random_same_length,MR_1997_008,-0.011040402606609656
random_same_length,MR_1997_008,-0.03259253479594537
random_same_length,MR_1997_008,-0.022922850385917903
random_same_length,MR_1997_008,-0.05985739946907853
mercury_retrograde,MR_1997_009,-0.042454895320497066
random_same_length,MR_1997_009,-0.06654953935095576
random_same_length,MR_1997_009,-0.014792922688822818
random_same_length,MR_1997_009,-0.07112519254449134
random_same_length,MR_1997_009,-0.010503825972029146
random_same_length,MR_1997_009,-0.0494260442027451
random_same_length,MR_1997_009,-0.039038220257288425
random_same_length,MR_1997_009,-0.00917686075463342
random_same_length,MR_1997_009,-0.1118850292081357
random_same_length,MR_1997_009,-0.020894691793283293
random_same_length,MR_1997_009,-0.015764268268834702
random_same_length,MR_1997_009,-0.024000225413476572
random_same_length,MR_1997_009,-0.03903431139608626
random_same_length,MR_1997_009,-0.02162146111508667
random_same_length,MR_1997_009,-0.01724398699465124
random_same_length,MR_1997_009,-0.03074848771789984
random_same_length,MR_1997_009,-0.051411175128372455
random_same_length,MR_1997_009,-0.013890619234714352
random_same_length,MR_1997_009,-0.06576000317941222
random_same_length,MR_1997_009,-0.01646322377571363
random_same_length,MR_1997_009,-0.01564701936101387
mercury_retrograde,MR_1997_010,-0.044149312136349206
random_same_length,MR_1997_010,-0.016148008377126266
random_same_length,MR_1997_010,-0.06632384549346182
random_same_length,MR_1997_010,-0.043039960791682486
random_same_length,MR_1997_010,-0.03074848771789984
random_same_length,MR_1997_010,-0.028819473359129044
random_same_length,MR_1997_010,-0.030009615306130777
random_same_length,MR_1997_010,-0.025886057902243964
random_same_length,MR_1997_010,-0.011442835732714873
random_same_length,MR_1997_010,-0.07083304016365088
random_same_length,MR_1997_010,-0.009837419314923102
random_same_length,MR_1997_010,-0.022471646038970894
random_same_length,MR_1997_010,-0.05452252398450652
random_same_length,MR_1997_010,-0.012576216507389826
random_same_length,MR_1997_010,-0.048236446039114145
random_same_length,MR_1997_010,-0.020288612715960386
random_same_length,MR_1997_010,-0.03962895899397534
random_same_length,MR_1997_010,-0.041609363892517015
random_same_length,MR_1997_010,-0.046037349218386536
random_same_length,MR_1997_010,-0.023316896954380995
random_same_length,MR_1997_010,-0.04792032944829139
mercury_retrograde,MR_1998_011,-0.01874937888421624
random_same_length,MR_1998_011,-0.01686465822141714
random_same_length,MR_1998_011,-0.021921267591338167
random_same_length,MR_1998_011,-0.028819473359129044
random_same_length,MR_1998_011,-0.010061679602712648
random_same_length,MR_1998_011,-0.04987998295379603
random_same_length,MR_1998_011,-0.02845764936856876
random_same_length,MR_1998_011,-0.12924155513757196
random_same_length,MR_1998_011,-0.026960270776822948
random_same_length,MR_1998_011,-0.015842172169874602
random_same_length,MR_1998_011,-0.04186280766140382
random_same_length,MR_1998_011,-0.035231469800648285
random_same_length,MR_1998_011,-0.013890619234714352
random_same_length,MR_1998_011,-0.04052404767701079
random_same_length,MR_1998_011,-0.05565791042037227
random_same_length,MR_1998_011,-0.10159530548956275
random_same_length,MR_1998_011,-0.024963638280509293
random_same_length,MR_1998_011,-0.012201384460034048
random_same_length,MR_1998_011,-0.03766597257115534
random_same_length,MR_1998_011,-0.13852577277513412
