market,period,months,ann_return,ann_vol,sharpe,max_drawdown,win_rate,calmar,buy_hold_ann_return,excess_ann_return_vs_bh
Taiwan_EWT,2023-present,41,0.3011868699185738,0.209516850230972,1.4375305355466375,-0.0957839191607881,0.5121951219512195,3.144440868127197,0.3699005911408071,-0.06871372122223329
USDJPY,1990-2000,50,0.002704926601937885,0.09621621717108365,0.028113000920917623,-0.20020727707726138,0.14,0.013510630789379523,0.00042010292224947676,0.002284823679688408
USDJPY,2001-2012,144,0.00849941128316356,0.06002897475576867,0.1415884798589998,-0.20528061390704322,0.2013888888888889,0.041403867230309095,-0.02352260647546689,0.03202201775863045
USDJPY,2013-2019,84,0.03787722501521573,0.06274609596483563,0.6036586728271192,-0.1079784045446398,0.34523809523809523,0.35078518871388537,0.03433338308392053,0.0035438419312951996
USDJPY,2020-2022,36,0.06867211755618086,0.08628275586880886,0.7958962004017974,-0.10077663823304761,0.4166666666666667,0.6814289378990344,0.06877353174297984,-0.00010141418679898706
USDJPY,2023-present,41,0.025858415880597674,0.08381367392288806,0.30852263921026124,-0.12057330136569466,0.4146341463414634,0.21446220338754754,0.05414510374868153,-0.02828668786808386
DXY,1990-2000,132,0.0008928367824529992,0.05686410018540623,0.01570123820726771,-0.1424980945819989,0.3106060606060606,0.006265605059997672,0.01480094871734905,-0.01390811193489605
DXY,2001-2012,144,-0.023206538469338622,0.05528739556078595,-0.4197437450969109,-0.31789827154386263,0.14583333333333334,-0.07299988879032535,-0.026097165142672685,0.0028906266733340624
DXY,2013-2019,84,0.009455587115369424,0.053869995214293365,0.17552604335224753,-0.11199122945049012,0.39285714285714285,0.08443149666063464,0.027405229518376872,-0.01794964240300745
DXY,2020-2022,36,0.016372812349630506,0.06050100893006612,0.27062048450392034,-0.0767035844884314,0.3333333333333333,0.2134556352069816,0.02407262568238311,-0.007699813332752603
DXY,2023-present,41,-0.03964006929963071,0.042621670281938154,-0.9300449521901782,-0.1402822148372902,0.0975609756097561,-0.2825737342799173,-0.012052025609146533,-0.027588043690484176
SOX,1990-2000,79,0.028770422399667428,0.3930448150436967,0.07319883458192644,-0.545651448328883,0.3291139240506329,0.05272674064694592,0.26642904160506475,-0.23765861920539733
SOX,2001-2012,144,-0.03680432848825199,0.17270570442590732,-0.21310430139290193,-0.4536027110055838,0.18055555555555555,-0.0811378053862622,-0.03325800653025146,-0.003546321958000531
SOX,2013-2019,84,0.14938038151560318,0.168727314715406,0.8853360925441415,-0.2631366858373726,0.5,0.5676912021607102,0.251774802654108,-0.10239442113850483
